scenario_type,scenario_description,user_name,user_age,user_city,emotional_state,language_mix,conversation_length,memory_context,special_instructions
Relationship & Social,Third-Wheeling,Vimal,32,Bhopal,Bored and slightly bitter,"90% English, 10% Hindi",6,Companion knows user is out with a newlywed couple.,Act as their secret escape buddy. Keep responses highly entertaining.
Relationship & Social,Setting Boundaries,Anjali,34,Kanpur,Nervous but determined,Regional Hinglish,8,Companion knows user struggles to say no to colleagues.,Affirm the right to set boundaries. No step-by-step instructions.
Relationship & Social,Setting Boundaries,Kavya,21,Varanasi,Nervous but determined,"60% Hinglish, 40% English",11,Companion knows user struggles to say no to colleagues.,Affirm the right to set boundaries. No step-by-step instructions.
Relationship & Social,Third-Wheeling,Krishna,28,Bhopal,Bored and slightly bitter,Hinglish-heavy,11,Companion knows user is out with a newlywed couple.,Act as their secret escape buddy. Keep responses highly entertaining.
Relationship & Social,Setting Boundaries,Ishaan,27,Patna,Nervous but determined,"80% English, 20% Hindi",6,Companion knows user struggles to say no to colleagues.,Affirm the right to set boundaries. No step-by-step instructions.
Relationship & Social,Missing Someone,Aditi,29,Bhopal,Melancholy and reminiscent,"70% English, 30% Hinglish",7,Companion knows user's sister moved to Canada.,"Encourage sharing a very specific, small detail they miss."
Relationship & Social,Receiving Criticism,Priya,35,Faridabad,Defensive and hurt,Hinglish-heavy,14,Companion knows user's boss is often harsh.,"Validate hurt first, then ask one clarifying question about the criticism."
Relationship & Social,Friend Drama,Dev,23,Rajkot,Hurt and confused,50/50 Hinglish-English,8,Companion knows friend tends to ghost.,Ask clarifying questions to process the motive.
Relationship & Social,Situationship Confusion,Isha,19,Nagpur,Confused and seeking clarity,"80% English, 20% Hindi",7,Companion knows user is dating a commitment-phobe.,Label the situation as 'confusing' without pushing for breakup.
Relationship & Social,Toxic Relationship,Krishna,29,Vasai-Virar,Confused and seeking clarity,Hinglish-heavy,7,Companion knows user has been seeing this person for 2 months.,Do not escalate drama. Suggest professional talk at the end.
Relationship & Social,Friend Drama,Vivaan,27,Kanpur,Hurt and confused,"70% English, 30% Hinglish",6,Companion knows friend tends to ghost.,Ask clarifying questions to process the motive.
Relationship & Social,Setting Boundaries,Meera,28,Kalyan-Dombivli,Nervous but determined,Casual Hinglish,8,Companion knows user struggles to say no to colleagues.,Affirm the right to set boundaries. No step-by-step instructions.
Relationship & Social,Receiving Criticism,Vimal,32,Thane,Defensive and hurt,"80% English, 20% Hindi",15,Companion knows user's boss is often harsh.,"Validate hurt first, then ask one clarifying question about the criticism."
Relationship & Social,Toxic Relationship,Rakesh,18,Delhi,Confused and seeking clarity,Casual Hinglish,10,Companion knows user has been seeing this person for 2 months.,Do not escalate drama. Suggest professional talk at the end.
Relationship & Social,Missing Someone,Sameer,35,Nagpur,Melancholy and reminiscent,100% English,8,Companion knows user's sister moved to Canada.,"Encourage sharing a very specific, small detail they miss."
Relationship & Social,Parental Guilt Trip,Neha,24,Visakhapatnam,Guilty and resentful,"70% English, 30% Hinglish",13,Companion knows user missed a family puja.,Validate the cultural pressure. Separate user's intent from parents' reaction.
Relationship & Social,Friendship Jealousy,Dia,27,Surat,Feeling left out,Casual Hinglish,8,Companion knows user and best friend had a minor disagreement.,Acknowledge exclusion without dismissing it as petty.
Relationship & Social,Setting Boundaries,Rohan,27,Meerut,Nervous but determined,"90% English, 10% Hindi",6,Companion knows user struggles to say no to colleagues.,Affirm the right to set boundaries. No step-by-step instructions.
Relationship & Social,Parental Guilt Trip,Rohan,22,Ludhiana,Guilty and resentful,"80% English, 20% Hindi",14,Companion knows user missed a family puja.,Validate the cultural pressure. Separate user's intent from parents' reaction.
Relationship & Social,Social Anxiety,Karan,19,Varanasi,Dreading and nervous,Casual Hinglish,7,No prior context.,"Use only calming, presence-focused language."
Relationship & Social,Missing Someone,Aditi,25,Lucknow,Melancholy and reminiscent,"60% Hinglish, 40% English",15,Companion knows user's sister moved to Canada.,"Encourage sharing a very specific, small detail they miss."
Relationship & Social,Post-Social Hangover,Vishal,26,Bhopal,Drained and introspective,Hinglish-heavy,11,Companion knows user is an introvert.,Reassure gently about perceived social errors.
Relationship & Social,Situationship Confusion,Kabir,21,Pimpri-Chinchwad,Confused and seeking clarity,Casual Hinglish,10,Companion knows user is dating a commitment-phobe.,Label the situation as 'confusing' without pushing for breakup.
Relationship & Social,Post-Social Hangover,Sneha,26,Mumbai,Drained and introspective,50/50 Hinglish-English,14,Companion knows user is an introvert.,Reassure gently about perceived social errors.
Relationship & Social,Reconnecting with Ex,Nikhil,22,Hyderabad,Nostalgic and tempted,"60% Hinglish, 40% English",7,Companion knows the breakup was mutual but sad.,Gently remind user of the reasons it ended without being judgmental.
Relationship & Social,Missing Someone,Gautam,24,Varanasi,Melancholy and reminiscent,100% English,13,Companion knows user's sister moved to Canada.,"Encourage sharing a very specific, small detail they miss."
Relationship & Social,Setting Boundaries,Dia,32,Vadodara,Nervous but determined,Regional Hinglish,7,Companion knows user struggles to say no to colleagues.,Affirm the right to set boundaries. No step-by-step instructions.
Relationship & Social,Post-Social Hangover,Pooja,31,Hyderabad,Drained and introspective,"70% English, 30% Hinglish",11,Companion knows user is an introvert.,Reassure gently about perceived social errors.
Relationship & Social,Social Anxiety,Arjun,34,Vadodara,Dreading and nervous,"70% English, 30% Hinglish",7,No prior context.,"Use only calming, presence-focused language."
Relationship & Social,Roommate Conflict,Rakesh,19,Ludhiana,Passive-aggressive and annoyed,"70% English, 30% Hinglish",14,Companion knows roommate never does dishes.,Help user draft a non-confrontational text to the roommate.
Relationship & Social,Toxic Relationship,Kavya,32,Indore,Confused and seeking clarity,"80% English, 20% Hindi",15,Companion knows user has been seeing this person for 2 months.,Do not escalate drama. Suggest professional talk at the end.
Relationship & Social,Friend Drama,Kavya,28,Kolkata,Hurt and confused,Mostly Hinglish,15,Companion knows friend tends to ghost.,Ask clarifying questions to process the motive.
Relationship & Social,Post-Social Hangover,Aarav,21,Faridabad,Drained and introspective,50/50 Hinglish-English,7,Companion knows user is an introvert.,Reassure gently about perceived social errors.
Relationship & Social,Friendship Jealousy,Tanvi,27,Rajkot,Feeling left out,Mostly Hinglish,11,Companion knows user and best friend had a minor disagreement.,Acknowledge exclusion without dismissing it as petty.
Relationship & Social,Roommate Conflict,Tanya,27,Vasai-Virar,Passive-aggressive and annoyed,"60% Hinglish, 40% English",11,Companion knows roommate never does dishes.,Help user draft a non-confrontational text to the roommate.
Relationship & Social,Third-Wheeling,Zara,25,Chennai,Bored and slightly bitter,Mostly Hinglish,12,Companion knows user is out with a newlywed couple.,Act as their secret escape buddy. Keep responses highly entertaining.
Relationship & Social,Receiving Criticism,Sai,24,Bangalore,Defensive and hurt,50/50 Hinglish-English,7,Companion knows user's boss is often harsh.,"Validate hurt first, then ask one clarifying question about the criticism."
Relationship & Social,Crush Overthinking,Ayesha,32,Agra,Excited and overthinking,50/50 Hinglish-English,11,Companion knows user liked this person for 6 months.,Tease gently about the overthinking. Use 'yaar'.
Relationship & Social,Friendship Jealousy,Vivaan,28,Rajkot,Feeling left out,Casual Hinglish,10,Companion knows user and best friend had a minor disagreement.,Acknowledge exclusion without dismissing it as petty.
Relationship & Social,Crush Overthinking,Pooja,18,Patna,Excited and overthinking,"90% English, 10% Hindi",12,Companion knows user liked this person for 6 months.,Tease gently about the overthinking. Use 'yaar'.
Relationship & Social,Networking Event,Arjun,23,Jaipur,Intimidated and awkward,Casual Hinglish,7,Companion knows user hates corporate jargon.,Give them a funny 'bingo card' idea for corporate buzzwords to ease tension.
Relationship & Social,Roommate Conflict,Tanya,25,Thane,Passive-aggressive and annoyed,100% English,10,Companion knows roommate never does dishes.,Help user draft a non-confrontational text to the roommate.
Relationship & Social,Reconnecting with Ex,Anjali,31,Nashik,Nostalgic and tempted,"80% English, 20% Hindi",7,Companion knows the breakup was mutual but sad.,Gently remind user of the reasons it ended without being judgmental.
Relationship & Social,Social Anxiety,Tanvi,24,Ahmedabad,Dreading and nervous,"80% English, 20% Hindi",14,No prior context.,"Use only calming, presence-focused language."
Relationship & Social,Reconnecting with Ex,Tanya,27,Lucknow,Nostalgic and tempted,Hinglish-heavy,6,Companion knows the breakup was mutual but sad.,Gently remind user of the reasons it ended without being judgmental.
Relationship & Social,Toxic Relationship,Neha,18,Nashik,Confused and seeking clarity,50/50 Hinglish-English,12,Companion knows user has been seeing this person for 2 months.,Do not escalate drama. Suggest professional talk at the end.
Relationship & Social,Reconnecting with Ex,Pooja,18,Delhi,Nostalgic and tempted,"80% English, 20% Hindi",13,Companion knows the breakup was mutual but sad.,Gently remind user of the reasons it ended without being judgmental.
Relationship & Social,Setting Boundaries,Priyanka,24,Nashik,Nervous but determined,"60% Hinglish, 40% English",12,Companion knows user struggles to say no to colleagues.,Affirm the right to set boundaries. No step-by-step instructions.
Relationship & Social,Reconnecting with Ex,Varun,21,Visakhapatnam,Nostalgic and tempted,"90% English, 10% Hindi",6,Companion knows the breakup was mutual but sad.,Gently remind user of the reasons it ended without being judgmental.
Relationship & Social,Setting Boundaries,Vimal,28,Bhopal,Nervous but determined,Hinglish-heavy,13,Companion knows user struggles to say no to colleagues.,Affirm the right to set boundaries. No step-by-step instructions.
Relationship & Social,Situationship Confusion,Varun,26,Faridabad,Confused and seeking clarity,"70% English, 30% Hinglish",10,Companion knows user is dating a commitment-phobe.,Label the situation as 'confusing' without pushing for breakup.
Relationship & Social,Situationship Confusion,Vimal,25,Hyderabad,Confused and seeking clarity,"80% English, 20% Hindi",8,Companion knows user is dating a commitment-phobe.,Label the situation as 'confusing' without pushing for breakup.
Relationship & Social,Social Anxiety,Ananya,20,Thane,Dreading and nervous,"90% English, 10% Hindi",15,No prior context.,"Use only calming, presence-focused language."
Relationship & Social,Situationship Confusion,Prateek,35,Rajkot,Confused and seeking clarity,Regional Hinglish,8,Companion knows user is dating a commitment-phobe.,Label the situation as 'confusing' without pushing for breakup.
Relationship & Social,Reconnecting with Ex,Mehak,34,Bhopal,Nostalgic and tempted,100% English,15,Companion knows the breakup was mutual but sad.,Gently remind user of the reasons it ended without being judgmental.
Relationship & Social,Parental Guilt Trip,Aditya,32,Ahmedabad,Guilty and resentful,Mostly Hinglish,9,Companion knows user missed a family puja.,Validate the cultural pressure. Separate user's intent from parents' reaction.
Relationship & Social,Post-Social Hangover,Dev,18,Jaipur,Drained and introspective,100% English,8,Companion knows user is an introvert.,Reassure gently about perceived social errors.
Relationship & Social,Reconnecting with Ex,Zara,22,Surat,Nostalgic and tempted,"70% English, 30% Hinglish",10,Companion knows the breakup was mutual but sad.,Gently remind user of the reasons it ended without being judgmental.
Relationship & Social,Reconnecting with Ex,Aarav,21,Indore,Nostalgic and tempted,100% English,7,Companion knows the breakup was mutual but sad.,Gently remind user of the reasons it ended without being judgmental.
Relationship & Social,Parental Guilt Trip,Vivaan,32,Lucknow,Guilty and resentful,"70% English, 30% Hinglish",6,Companion knows user missed a family puja.,Validate the cultural pressure. Separate user's intent from parents' reaction.
Relationship & Social,Networking Event,Rohit,20,Rajkot,Intimidated and awkward,50/50 Hinglish-English,8,Companion knows user hates corporate jargon.,Give them a funny 'bingo card' idea for corporate buzzwords to ease tension.
Relationship & Social,Networking Event,Preeti,30,Delhi,Intimidated and awkward,Regional Hinglish,12,Companion knows user hates corporate jargon.,Give them a funny 'bingo card' idea for corporate buzzwords to ease tension.
Relationship & Social,Post-Social Hangover,Arjun,18,Ghaziabad,Drained and introspective,Casual Hinglish,6,Companion knows user is an introvert.,Reassure gently about perceived social errors.
Relationship & Social,Situationship Confusion,Shreya,19,Ahmedabad,Confused and seeking clarity,Regional Hinglish,9,Companion knows user is dating a commitment-phobe.,Label the situation as 'confusing' without pushing for breakup.
Relationship & Social,Reconnecting with Ex,Gautam,28,Vadodara,Nostalgic and tempted,"90% English, 10% Hindi",15,Companion knows the breakup was mutual but sad.,Gently remind user of the reasons it ended without being judgmental.
Relationship & Social,Toxic Relationship,Devika,35,Meerut,Confused and seeking clarity,"80% English, 20% Hindi",8,Companion knows user has been seeing this person for 2 months.,Do not escalate drama. Suggest professional talk at the end.
Relationship & Social,Roommate Conflict,Krishna,25,Thane,Passive-aggressive and annoyed,"80% English, 20% Hindi",6,Companion knows roommate never does dishes.,Help user draft a non-confrontational text to the roommate.
Relationship & Social,Friend Drama,Rakesh,23,Rajkot,Hurt and confused,Casual Hinglish,13,Companion knows friend tends to ghost.,Ask clarifying questions to process the motive.
Relationship & Social,Friendship Jealousy,Saurabh,35,Ahmedabad,Feeling left out,100% English,15,Companion knows user and best friend had a minor disagreement.,Acknowledge exclusion without dismissing it as petty.
Relationship & Social,Social Anxiety,Rakesh,32,Pimpri-Chinchwad,Dreading and nervous,Hinglish-heavy,14,No prior context.,"Use only calming, presence-focused language."
Relationship & Social,Post-Social Hangover,Krishna,29,Kalyan-Dombivli,Drained and introspective,"70% English, 30% Hinglish",15,Companion knows user is an introvert.,Reassure gently about perceived social errors.
Relationship & Social,Situationship Confusion,Tina,34,Meerut,Confused and seeking clarity,Casual Hinglish,10,Companion knows user is dating a commitment-phobe.,Label the situation as 'confusing' without pushing for breakup.
Relationship & Social,Third-Wheeling,Diya,25,Kalyan-Dombivli,Bored and slightly bitter,100% English,15,Companion knows user is out with a newlywed couple.,Act as their secret escape buddy. Keep responses highly entertaining.
Relationship & Social,Networking Event,Anjali,35,Visakhapatnam,Intimidated and awkward,Hinglish-heavy,13,Companion knows user hates corporate jargon.,Give them a funny 'bingo card' idea for corporate buzzwords to ease tension.
Relationship & Social,Crush Overthinking,Karan,20,Nagpur,Excited and overthinking,Mostly Hinglish,11,Companion knows user liked this person for 6 months.,Tease gently about the overthinking. Use 'yaar'.
Relationship & Social,Toxic Relationship,Tanya,19,Pune,Confused and seeking clarity,Casual Hinglish,7,Companion knows user has been seeing this person for 2 months.,Do not escalate drama. Suggest professional talk at the end.
Relationship & Social,Parental Guilt Trip,Ishaan,31,Kolkata,Guilty and resentful,Regional Hinglish,7,Companion knows user missed a family puja.,Validate the cultural pressure. Separate user's intent from parents' reaction.
Relationship & Social,Social Anxiety,Shreya,28,Ahmedabad,Dreading and nervous,100% English,6,No prior context.,"Use only calming, presence-focused language."
Relationship & Social,Friendship Jealousy,Mehak,18,Varanasi,Feeling left out,100% English,12,Companion knows user and best friend had a minor disagreement.,Acknowledge exclusion without dismissing it as petty.
Relationship & Social,Friend Drama,Rohit,21,Meerut,Hurt and confused,Regional Hinglish,8,Companion knows friend tends to ghost.,Ask clarifying questions to process the motive.
Relationship & Social,Roommate Conflict,Anjali,28,Vasai-Virar,Passive-aggressive and annoyed,50/50 Hinglish-English,13,Companion knows roommate never does dishes.,Help user draft a non-confrontational text to the roommate.
Relationship & Social,Friendship Jealousy,Saurabh,26,Kalyan-Dombivli,Feeling left out,"60% Hinglish, 40% English",11,Companion knows user and best friend had a minor disagreement.,Acknowledge exclusion without dismissing it as petty.
Relationship & Social,Parental Guilt Trip,Ayesha,35,Surat,Guilty and resentful,Mostly Hinglish,8,Companion knows user missed a family puja.,Validate the cultural pressure. Separate user's intent from parents' reaction.
Relationship & Social,Crush Overthinking,Karthik,18,Ludhiana,Excited and overthinking,"90% English, 10% Hindi",6,Companion knows user liked this person for 6 months.,Tease gently about the overthinking. Use 'yaar'.
Relationship & Social,Third-Wheeling,Yash,27,Rajkot,Bored and slightly bitter,Regional Hinglish,10,Companion knows user is out with a newlywed couple.,Act as their secret escape buddy. Keep responses highly entertaining.
Relationship & Social,Post-Social Hangover,Priyanka,26,Pune,Drained and introspective,"70% English, 30% Hinglish",14,Companion knows user is an introvert.,Reassure gently about perceived social errors.
Relationship & Social,Reconnecting with Ex,Rohan,21,Meerut,Nostalgic and tempted,Mostly Hinglish,12,Companion knows the breakup was mutual but sad.,Gently remind user of the reasons it ended without being judgmental.
Relationship & Social,Third-Wheeling,Akash,25,Pune,Bored and slightly bitter,50/50 Hinglish-English,6,Companion knows user is out with a newlywed couple.,Act as their secret escape buddy. Keep responses highly entertaining.
Relationship & Social,Parental Guilt Trip,Dev,34,Patna,Guilty and resentful,"70% English, 30% Hinglish",6,Companion knows user missed a family puja.,Validate the cultural pressure. Separate user's intent from parents' reaction.
Relationship & Social,Third-Wheeling,Karan,19,Ludhiana,Bored and slightly bitter,"70% English, 30% Hinglish",10,Companion knows user is out with a newlywed couple.,Act as their secret escape buddy. Keep responses highly entertaining.
Relationship & Social,Missing Someone,Aditi,20,Kanpur,Melancholy and reminiscent,"60% Hinglish, 40% English",14,Companion knows user's sister moved to Canada.,"Encourage sharing a very specific, small detail they miss."
Relationship & Social,Toxic Relationship,Isha,20,Vadodara,Confused and seeking clarity,Mostly Hinglish,8,Companion knows user has been seeing this person for 2 months.,Do not escalate drama. Suggest professional talk at the end.
Relationship & Social,Toxic Relationship,Meera,30,Ludhiana,Confused and seeking clarity,Regional Hinglish,7,Companion knows user has been seeing this person for 2 months.,Do not escalate drama. Suggest professional talk at the end.
Relationship & Social,Toxic Relationship,Dev,35,Thane,Confused and seeking clarity,100% English,10,Companion knows user has been seeing this person for 2 months.,Do not escalate drama. Suggest professional talk at the end.
Relationship & Social,Networking Event,Neha,30,Faridabad,Intimidated and awkward,50/50 Hinglish-English,12,Companion knows user hates corporate jargon.,Give them a funny 'bingo card' idea for corporate buzzwords to ease tension.
Relationship & Social,Friend Drama,Ayesha,22,Meerut,Hurt and confused,"60% Hinglish, 40% English",9,Companion knows friend tends to ghost.,Ask clarifying questions to process the motive.
Relationship & Social,Situationship Confusion,Anjali,27,Vadodara,Confused and seeking clarity,Mostly Hinglish,10,Companion knows user is dating a commitment-phobe.,Label the situation as 'confusing' without pushing for breakup.
Relationship & Social,Reconnecting with Ex,Ishaan,33,Nashik,Nostalgic and tempted,"60% Hinglish, 40% English",12,Companion knows the breakup was mutual but sad.,Gently remind user of the reasons it ended without being judgmental.
Relationship & Social,Parental Guilt Trip,Arjun,22,Bhopal,Guilty and resentful,"60% Hinglish, 40% English",14,Companion knows user missed a family puja.,Validate the cultural pressure. Separate user's intent from parents' reaction.
Relationship & Social,Networking Event,Meera,26,Vadodara,Intimidated and awkward,100% English,9,Companion knows user hates corporate jargon.,Give them a funny 'bingo card' idea for corporate buzzwords to ease tension.
Relationship & Social,Social Anxiety,Nikhil,25,Kolkata,Dreading and nervous,Regional Hinglish,13,No prior context.,"Use only calming, presence-focused language."
Relationship & Social,Missing Someone,Vikram,27,Nagpur,Melancholy and reminiscent,Mostly Hinglish,7,Companion knows user's sister moved to Canada.,"Encourage sharing a very specific, small detail they miss."
Relationship & Social,Parental Guilt Trip,Rohit,31,Bhopal,Guilty and resentful,Regional Hinglish,11,Companion knows user missed a family puja.,Validate the cultural pressure. Separate user's intent from parents' reaction.
Relationship & Social,Situationship Confusion,Harsha,30,Lucknow,Confused and seeking clarity,"80% English, 20% Hindi",7,Companion knows user is dating a commitment-phobe.,Label the situation as 'confusing' without pushing for breakup.
Relationship & Social,Parental Guilt Trip,Riya,19,Delhi,Guilty and resentful,"70% English, 30% Hinglish",9,Companion knows user missed a family puja.,Validate the cultural pressure. Separate user's intent from parents' reaction.
Relationship & Social,Setting Boundaries,Ananya,26,Kolkata,Nervous but determined,"80% English, 20% Hindi",9,Companion knows user struggles to say no to colleagues.,Affirm the right to set boundaries. No step-by-step instructions.
Relationship & Social,Missing Someone,Karan,26,Ghaziabad,Melancholy and reminiscent,"80% English, 20% Hindi",6,Companion knows user's sister moved to Canada.,"Encourage sharing a very specific, small detail they miss."
Relationship & Social,Situationship Confusion,Anjali,19,Chennai,Confused and seeking clarity,100% English,6,Companion knows user is dating a commitment-phobe.,Label the situation as 'confusing' without pushing for breakup.
Relationship & Social,Toxic Relationship,Isha,21,Rajkot,Confused and seeking clarity,Mostly Hinglish,9,Companion knows user has been seeing this person for 2 months.,Do not escalate drama. Suggest professional talk at the end.
Relationship & Social,Friendship Jealousy,Karan,27,Agra,Feeling left out,Hinglish-heavy,14,Companion knows user and best friend had a minor disagreement.,Acknowledge exclusion without dismissing it as petty.
Relationship & Social,Post-Social Hangover,Riya,20,Mumbai,Drained and introspective,100% English,7,Companion knows user is an introvert.,Reassure gently about perceived social errors.
Relationship & Social,Friendship Jealousy,Aarav,28,Surat,Feeling left out,"60% Hinglish, 40% English",7,Companion knows user and best friend had a minor disagreement.,Acknowledge exclusion without dismissing it as petty.
Relationship & Social,Friend Drama,Dia,32,Ghaziabad,Hurt and confused,"80% English, 20% Hindi",14,Companion knows friend tends to ghost.,Ask clarifying questions to process the motive.
Relationship & Social,Networking Event,Harsha,24,Ahmedabad,Intimidated and awkward,Regional Hinglish,12,Companion knows user hates corporate jargon.,Give them a funny 'bingo card' idea for corporate buzzwords to ease tension.
Relationship & Social,Parental Guilt Trip,Riya,19,Varanasi,Guilty and resentful,"80% English, 20% Hindi",9,Companion knows user missed a family puja.,Validate the cultural pressure. Separate user's intent from parents' reaction.
Relationship & Social,Setting Boundaries,Krishna,19,Kolkata,Nervous but determined,"60% Hinglish, 40% English",15,Companion knows user struggles to say no to colleagues.,Affirm the right to set boundaries. No step-by-step instructions.
Relationship & Social,Friendship Jealousy,Priyanka,31,Nagpur,Feeling left out,50/50 Hinglish-English,11,Companion knows user and best friend had a minor disagreement.,Acknowledge exclusion without dismissing it as petty.
Relationship & Social,Roommate Conflict,Kabir,26,Ahmedabad,Passive-aggressive and annoyed,"60% Hinglish, 40% English",12,Companion knows roommate never does dishes.,Help user draft a non-confrontational text to the roommate.
Relationship & Social,Crush Overthinking,Aditya,18,Nashik,Excited and overthinking,"90% English, 10% Hindi",15,Companion knows user liked this person for 6 months.,Tease gently about the overthinking. Use 'yaar'.
Relationship & Social,Toxic Relationship,Gautam,28,Ahmedabad,Confused and seeking clarity,"80% English, 20% Hindi",9,Companion knows user has been seeing this person for 2 months.,Do not escalate drama. Suggest professional talk at the end.
Relationship & Social,Missing Someone,Devika,19,Kolkata,Melancholy and reminiscent,50/50 Hinglish-English,15,Companion knows user's sister moved to Canada.,"Encourage sharing a very specific, small detail they miss."
Relationship & Social,Receiving Criticism,Priya,18,Kolkata,Defensive and hurt,100% English,7,Companion knows user's boss is often harsh.,"Validate hurt first, then ask one clarifying question about the criticism."
Relationship & Social,Third-Wheeling,Neha,25,Visakhapatnam,Bored and slightly bitter,Mostly Hinglish,14,Companion knows user is out with a newlywed couple.,Act as their secret escape buddy. Keep responses highly entertaining.
Relationship & Social,Social Anxiety,Tanvi,26,Kanpur,Dreading and nervous,"90% English, 10% Hindi",6,No prior context.,"Use only calming, presence-focused language."
Relationship & Social,Crush Overthinking,Mehak,18,Chennai,Excited and overthinking,"90% English, 10% Hindi",15,Companion knows user liked this person for 6 months.,Tease gently about the overthinking. Use 'yaar'.
Relationship & Social,Friendship Jealousy,Shreya,28,Varanasi,Feeling left out,"70% English, 30% Hinglish",11,Companion knows user and best friend had a minor disagreement.,Acknowledge exclusion without dismissing it as petty.
Relationship & Social,Social Anxiety,Tanya,28,Lucknow,Dreading and nervous,Regional Hinglish,12,No prior context.,"Use only calming, presence-focused language."
Relationship & Social,Setting Boundaries,Preeti,25,Hyderabad,Nervous but determined,Regional Hinglish,12,Companion knows user struggles to say no to colleagues.,Affirm the right to set boundaries. No step-by-step instructions.
Relationship & Social,Friendship Jealousy,Tanvi,32,Varanasi,Feeling left out,50/50 Hinglish-English,12,Companion knows user and best friend had a minor disagreement.,Acknowledge exclusion without dismissing it as petty.
Relationship & Social,Toxic Relationship,Pooja,35,Ludhiana,Confused and seeking clarity,Regional Hinglish,15,Companion knows user has been seeing this person for 2 months.,Do not escalate drama. Suggest professional talk at the end.
Relationship & Social,Missing Someone,Aditi,20,Ludhiana,Melancholy and reminiscent,Regional Hinglish,15,Companion knows user's sister moved to Canada.,"Encourage sharing a very specific, small detail they miss."
Relationship & Social,Post-Social Hangover,Akash,28,Nagpur,Drained and introspective,"80% English, 20% Hindi",9,Companion knows user is an introvert.,Reassure gently about perceived social errors.
Relationship & Social,Setting Boundaries,Vikram,33,Visakhapatnam,Nervous but determined,"80% English, 20% Hindi",8,Companion knows user struggles to say no to colleagues.,Affirm the right to set boundaries. No step-by-step instructions.
Relationship & Social,Post-Social Hangover,Aditya,30,Jaipur,Drained and introspective,Mostly Hinglish,11,Companion knows user is an introvert.,Reassure gently about perceived social errors.
Relationship & Social,Networking Event,Rohan,31,Indore,Intimidated and awkward,Regional Hinglish,14,Companion knows user hates corporate jargon.,Give them a funny 'bingo card' idea for corporate buzzwords to ease tension.
Relationship & Social,Parental Guilt Trip,Rohan,26,Kanpur,Guilty and resentful,"60% Hinglish, 40% English",10,Companion knows user missed a family puja.,Validate the cultural pressure. Separate user's intent from parents' reaction.
Relationship & Social,Networking Event,Diya,33,Rajkot,Intimidated and awkward,"80% English, 20% Hindi",15,Companion knows user hates corporate jargon.,Give them a funny 'bingo card' idea for corporate buzzwords to ease tension.
Relationship & Social,Crush Overthinking,Vimal,18,Vadodara,Excited and overthinking,"80% English, 20% Hindi",7,Companion knows user liked this person for 6 months.,Tease gently about the overthinking. Use 'yaar'.
Relationship & Social,Receiving Criticism,Dia,34,Visakhapatnam,Defensive and hurt,100% English,7,Companion knows user's boss is often harsh.,"Validate hurt first, then ask one clarifying question about the criticism."
Relationship & Social,Friend Drama,Shanaya,22,Faridabad,Hurt and confused,100% English,7,Companion knows friend tends to ghost.,Ask clarifying questions to process the motive.
Relationship & Social,Roommate Conflict,Yash,23,Kolkata,Passive-aggressive and annoyed,Hinglish-heavy,9,Companion knows roommate never does dishes.,Help user draft a non-confrontational text to the roommate.
Relationship & Social,Roommate Conflict,Aditi,23,Thane,Passive-aggressive and annoyed,Mostly Hinglish,11,Companion knows roommate never does dishes.,Help user draft a non-confrontational text to the roommate.
Relationship & Social,Friendship Jealousy,Karthik,32,Chennai,Feeling left out,"90% English, 10% Hindi",7,Companion knows user and best friend had a minor disagreement.,Acknowledge exclusion without dismissing it as petty.
Relationship & Social,Reconnecting with Ex,Shanaya,26,Meerut,Nostalgic and tempted,Hinglish-heavy,10,Companion knows the breakup was mutual but sad.,Gently remind user of the reasons it ended without being judgmental.
Relationship & Social,Friendship Jealousy,Ayesha,21,Varanasi,Feeling left out,100% English,6,Companion knows user and best friend had a minor disagreement.,Acknowledge exclusion without dismissing it as petty.
Relationship & Social,Friendship Jealousy,Akash,28,Ahmedabad,Feeling left out,Hinglish-heavy,9,Companion knows user and best friend had a minor disagreement.,Acknowledge exclusion without dismissing it as petty.
Relationship & Social,Reconnecting with Ex,Devika,20,Pune,Nostalgic and tempted,Casual Hinglish,14,Companion knows the breakup was mutual but sad.,Gently remind user of the reasons it ended without being judgmental.
Relationship & Social,Receiving Criticism,Meera,34,Vadodara,Defensive and hurt,Casual Hinglish,10,Companion knows user's boss is often harsh.,"Validate hurt first, then ask one clarifying question about the criticism."
Relationship & Social,Situationship Confusion,Saurabh,28,Ahmedabad,Confused and seeking clarity,Regional Hinglish,12,Companion knows user is dating a commitment-phobe.,Label the situation as 'confusing' without pushing for breakup.
Relationship & Social,Missing Someone,Shreya,26,Rajkot,Melancholy and reminiscent,Regional Hinglish,6,Companion knows user's sister moved to Canada.,"Encourage sharing a very specific, small detail they miss."
Relationship & Social,Friendship Jealousy,Varun,32,Ghaziabad,Feeling left out,"70% English, 30% Hinglish",7,Companion knows user and best friend had a minor disagreement.,Acknowledge exclusion without dismissing it as petty.
Relationship & Social,Toxic Relationship,Rakesh,31,Indore,Confused and seeking clarity,100% English,15,Companion knows user has been seeing this person for 2 months.,Do not escalate drama. Suggest professional talk at the end.
Relationship & Social,Friendship Jealousy,Meera,24,Patna,Feeling left out,Mostly Hinglish,6,Companion knows user and best friend had a minor disagreement.,Acknowledge exclusion without dismissing it as petty.
